Sl. No.,State/UT,Number of Villages Covered with SWM,Number of Villages Covered with LWM,Number of Villages Covered with Both SWM and LWM
1,andaman and nicobar islands,189,189,189
2,andhra pradesh,3205,1193,1186
3,arunachal pradesh,157,162,126
4,assam,284,55,21
5,bihar,971,3907,486
6,chhattisgarh,3408,5941,2888
7,dadra and nagar haveli and daman and diu,95,95,95
8,goa,220,24,24
9,gujarat,4699,4254,2002
10,haryana,2036,1500,1348
11,himachal pradesh,12211,11761,10583
12,jammu and kashmir,479,1536,306
13,jharkhand,834,2571,561
14,karnataka,17809,239,225
15,kerala,667,651,646
16,ladakh,20,25,13
17,lakshadweep,0,0,0
18,madhya pradesh,16839,19597,15754
19,maharashtra,4943,4992,4769
20,manipur,18,24,18
21,meghalaya,749,656,649
22,mizoram,276,232,230
23,nagaland,434,394,377
24,odisha,12847,13810,12761
25,puducherry,67,3,3
26,punjab,229,563,45
27,rajasthan,2687,10265,1937
28,sikkim,243,231,227
29,tamil nadu,12232,228,224
30,telangana,12769,5508,5508
31,tripura,38,80,16
32,uttar pradesh,8613,14782,5102
33,uttarakhand,3415,3273,3008
34,west bengal,346,210,60
total,total,124029,108951,71387
